GEOID,Geographic Area Name,IT_WholeNum,IT_WhiteNum,IT_NHWhiteNum,IT_BlackNum,IT_WholeRate,IT_WhiteRate,IT_NHWhiteRate,IT_BlackRate
01059,"Franklin, Alabama",21509,18374,16536,879,68.9,70.9,69.0,64.7
01061,"Geneva, Alabama",19575,17379,16712,1482,74.8,76.6,76.1,60.0
01063,"Greene, Alabama",4969,1037,1037,3665,60.2,73.9,73.9,55.7
01065,"Hale, Alabama",9961,4653,4653,5253,68.2,81.2,81.2,60.3
01067,"Henry, Alabama",13563,10212,9996,3003,80.7,85.7,85.7,67.6
01069,"Houston, Alabama",81654,59079,56927,19119,78.7,82.4,82.5,68.6
01071,"Jackson, Alabama",40024,36701,35733,1272,78.2,78.2,78.1,75.7
01073,"Jefferson, Alabama",537195,295779,286329,213831,83.4,88.8,89.3,77.2
01075,"Lamar, Alabama",9892,9032,8837,661,72.2,74.9,74.6,47.4
01077,"Lauderdale, Alabama",69309,61555,60504,5602,76.6,78.0,78.6,61.3
01079,"Lawrence, Alabama",22192,17516,17156,1769,67.6,68.3,68.3,51.5
01081,"Lee, Alabama",132503,95854,92322,27204,85.3,88.1,88.6,75.9
01083,"Limestone, Alabama",76237,62533,60111,8990,83.1,84.0,84.7,77.2
01085,"Lowndes, Alabama",5830,1980,1968,3815,58.4,80.4,80.3,51.2
01087,"Macon, Alabama",10805,2233,2211,8483,65.7,77.9,77.7,63.1
01089,"Madison, Alabama",315067,221367,211872,68200,89.2,91.2,91.6,82.5
01091,"Marengo, Alabama",13134,6737,6580,6279,68.8,77.1,76.6,61.5
01093,"Marion, Alabama",21709,20393,20156,494,73.9,74.4,74.4,52.8
01095,"Marshall, Alabama",79766,74553,65159,1998,84.3,84.6,85.4,81.8
01097,"Mobile, Alabama",319889,202258,196818,98843,78.7,84.8,85.0,68.2
01099,"Monroe, Alabama",9377,6645,6611,2419,44.6,58.0,58.0,27.1
