GEOID,urban,FluVax_BlackRate,FluVax_NHWhiteRate,FluVax_WholeRate
18157,1,29.0,56.0,55
18159,1,,60.0,60
18161,0,,52.0,51
18163,1,42.0,59.0,58
18165,1,,49.0,49
18167,1,35.0,53.0,52
18169,0,21.0,46.0,46
18171,0,,47.0,47
18173,1,50.0,62.0,61
18175,1,,48.0,48
18177,0,37.0,48.0,47
18179,1,,50.0,50
18181,0,,57.0,56
18183,1,,53.0,53
19001,0,,53.0,53
19003,0,,54.0,54
19005,0,,44.0,44
19007,0,,43.0,43
19009,0,,41.0,41
19011,1,,38.0,38
19013,1,37.0,61.0,59
19015,0,36.0,64.0,64
19017,1,23.0,53.0,53
19019,0,,41.0,41
19021,0,,39.0,38
19023,0,,48.0,48
19025,0,,39.0,39
19027,0,36.0,62.0,62
19029,0,,32.0,32
19031,0,,47.0,47
19033,0,27.0,60.0,60
19035,0,,43.0,42
19037,0,,59.0,59
19039,0,,43.0,43
19041,0,,58.0,58
19043,0,,41.0,41
19045,0,30.0,59.0,59
19047,0,,48.0,47
19049,1,30.0,61.0,61
19051,0,,49.0,49
19053,0,,42.0,42
19055,0,,39.0,39
19057,0,33.0,59.0,58
19059,0,,65.0,65
19061,1,26.0,54.0,54
19063,0,,57.0,57
19065,0,27.0,43.0,43
19067,0,31.0,51.0,50
19069,0,,49.0,49
19071,0,,36.0,36
19073,0,,59.0,59
19075,1,,46.0,46
19077,1,,57.0,57
19079,0,,54.0,54
19081,0,,61.0,61
19083,0,,63.0,63
19085,1,,42.0,41
19087,0,77.0,56.0,56
19089,0,,44.0,44
19091,0,,43.0,43
19093,0,,47.0,46
19095,0,,51.0,50
19097,0,,55.0,55
19099,0,47.0,64.0,64
19101,0,0.0,24.0,24
19103,1,43.0,64.0,63
19105,1,,39.0,39
19107,0,,45.0,45
19109,0,,35.0,35
19111,0,33.0,50.0,49
19113,1,37.0,64.0,63
19115,0,,55.0,54
19117,0,,44.0,44
19119,0,,54.0,54
19121,1,,41.0,41
19123,0,45.0,60.0,60
19125,0,32.0,60.0,59
19127,0,40.0,58.0,57
19129,1,0.0,58.0,57
19131,0,,36.0,35
19133,0,,14.0,14
19135,0,,44.0,43
19137,0,,60.0,60
19139,0,25.0,52.0,51
19141,0,,39.0,39
19143,0,,58.0,57
19145,0,,52.0,52
19147,0,,37.0,37
19149,0,,58.0,57
19151,0,,38.0,38
19153,1,37.0,64.0,62
19155,1,45.0,62.0,61
19157,0,,67.0,67
19159,0,,34.0,34
19161,0,,40.0,39
19163,1,35.0,62.0,61
19165,0,,57.0,57
19167,0,,58.0,57
19169,1,54.0,71.0,70
19171,0,,49.0,49
19173,0,,51.0,51
19175,0,,59.0,59
19177,0,,30.0,30
