Geographic Area Name,Rate_Unemployment_Whole,Rate_Unemployment_White,Rate_Unemployment_Black,Rate_Unemployment_AIndA,Rate_Unemployment_Asian,Unemployment Parity
"Mendocino, California",0.087,0.079,0.162,0.155,0.122,-0.083
"Merced, California",0.11900000000000001,0.105,0.239,0.14,0.092,-0.134
"Modoc, California",0.086,0.08,0.22399999999999998,0.085,0.0,-0.14399999999999996
"Mono, California",0.034,0.027999999999999997,0.0,0.11,0.006999999999999999,0.027999999999999997
"Monterey, California",0.049,0.049,0.1,0.085,0.051,-0.051000000000000004
"Napa, California",0.045,0.043,0.091,0.075,0.028999999999999998,-0.048
"Nevada, California",0.046,0.046,0.0,0.11199999999999999,0.012,0.046
"Orange, California",0.046,0.044000000000000004,0.078,0.07,0.040999999999999995,-0.033999999999999996
"Placer, California",0.042,0.043,0.024,0.069,0.044000000000000004,0.018999999999999996
"Plumas, California",0.054000000000000006,0.047,0.16699999999999998,0.042,0.0,-0.11999999999999998
"Riverside, California",0.075,0.067,0.10400000000000001,0.124,0.055999999999999994,-0.037000000000000005
"Sacramento, California",0.065,0.052000000000000005,0.12,0.12300000000000001,0.064,-0.06799999999999999
"San Benito, California",0.069,0.066,0.132,0.09300000000000001,0.11800000000000001,-0.066
"San Bernardino, California",0.077,0.07400000000000001,0.113,0.09300000000000001,0.045,-0.03899999999999999
"San Diego, California",0.06,0.055,0.113,0.09,0.052000000000000005,-0.058
"San Francisco, California",0.042,0.036000000000000004,0.1,0.107,0.042,-0.064
"San Joaquin, California",0.078,0.069,0.11599999999999999,0.09699999999999999,0.066,-0.046999999999999986
"San Luis Obispo, California",0.04,0.038,0.049,0.064,0.055,-0.011000000000000003
"San Mateo, California",0.037000000000000005,0.038,0.085,0.127,0.031,-0.04700000000000001
"Santa Barbara, California",0.057999999999999996,0.052000000000000005,0.128,0.142,0.077,-0.076
"Santa Clara, California",0.043,0.04,0.064,0.049,0.04,-0.024
"Santa Cruz, California",0.057,0.051,0.054000000000000006,0.096,0.07400000000000001,-0.0030000000000000096
"Shasta, California",0.055,0.052000000000000005,0.04,0.059000000000000004,0.024,0.012000000000000004
"Sierra, California",0.053,0.054000000000000006,,0.0,,
"Siskiyou, California",0.071,0.062,0.14800000000000002,0.201,0.129,-0.08600000000000002
"Solano, California",0.06,0.051,0.11599999999999999,0.124,0.040999999999999995,-0.065
"Sonoma, California",0.044000000000000004,0.042,0.08800000000000001,0.092,0.027000000000000003,-0.046000000000000006
"Stanislaus, California",0.091,0.08900000000000001,0.107,0.078,0.067,-0.017999999999999988
"Sutter, California",0.083,0.078,0.016,0.126,0.099,0.062
"Tehama, California",0.086,0.08,0.09699999999999999,0.131,0.043,-0.016999999999999987
"Trinity, California",0.08800000000000001,0.09699999999999999,0.0,0.083,0.0,0.09699999999999999
"Tulare, California",0.095,0.094,0.081,0.13699999999999998,0.057,0.012999999999999998
"Tuolumne, California",0.052000000000000005,0.052000000000000005,0.209,0.10400000000000001,0.11699999999999999,-0.15699999999999997
"Ventura, California",0.051,0.048,0.077,0.115,0.049,-0.028999999999999998
"Yolo, California",0.062,0.054000000000000006,0.11599999999999999,0.147,0.077,-0.061999999999999986
"Yuba, California",0.07200000000000001,0.061,0.121,0.07400000000000001,0.055,-0.06
