GEOID,hesitancy,strong_hesitancy
25015,0.07,0.03
25017,0.06,0.03
25019,0.06,0.03
25021,0.06,0.03
25023,0.07,0.03
25025,0.07,0.03
25027,0.07,0.03
26001,0.19,0.07
26003,0.21,0.08
26005,0.21,0.08
26007,0.19,0.07
26009,0.2,0.08
26011,0.2,0.08
26013,0.19,0.07
26015,0.2,0.07
26017,0.19,0.07
26019,0.18,0.07
26021,0.19,0.07
26023,0.22,0.08
26025,0.2,0.07
26027,0.2,0.08
26029,0.2,0.08
26031,0.19,0.07
26033,0.21,0.08
26035,0.23,0.09
26037,0.17,0.06
26039,0.19,0.07
26041,0.21,0.08
26043,0.19,0.07
26045,0.17,0.06
26047,0.2,0.08
26049,0.22,0.09
26051,0.2,0.08
26053,0.19,0.07
26055,0.18,0.07
26057,0.23,0.09
26059,0.21,0.08
